string_id	form_key	record_type	editor_id	field	occurrence	source	target	provenance
00000001	10E5F3:Skyrim.esm	GMST	sLackRequiredPerkToImproveMagical	DATA	0	This item does not have a tempering recipe.	此物品沒有鍛造配方。	Adamant 5.9.2 CHT exact FormKey seed
00000002	DD3BEC:MysticismMagic.esp	MGEF	MAG_BoundWarAxeFFSelf	FULL	0	Bound War Axe	戰斧塑形術	Adamant 5.9.2 CHT exact FormKey seed
00000003	DD3BEC:MysticismMagic.esp	MGEF	MAG_BoundWarAxeFFSelf	DNAM	0	Summons a Bound War Axe for <dur> seconds.	召喚一把魔力塑形戰斧，持續 <dur> 秒。	Adamant 5.9.2 CHT exact FormKey seed
00000004	DED0F2:MysticismMagic.esp	MGEF	MAG_EnchBoundWarhammerFX	FULL	0	Bound Warhammer FX	Bound Warhammer FX	Adamant 5.9.2 CHT exact FormKey seed
00000005	DED0F2:MysticismMagic.esp	MGEF	MAG_EnchBoundWarhammerFX	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000006	0153D3:Skyrim.esm	MGEF	MAG_PerkImpactFFAimed	FULL	0	Perk Impact Stagger	Perk Impact Stagger	Adamant 5.9.2 CHT exact FormKey seed
00000007	0153D3:Skyrim.esm	MGEF	MAG_PerkImpactFFAimed	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000008	01CE9E:Skyrim.esm	MGEF	MAG_BoundBattleAxeFFSelf	FULL	0	Bound Battleaxe	巨斧塑形術	Adamant 5.9.2 CHT exact FormKey seed
00000009	01CE9E:Skyrim.esm	MGEF	MAG_BoundBattleAxeFFSelf	DNAM	0	Summons a Bound Battleaxe for <dur> seconds.	召喚一把魔力塑形巨斧，持續 <dur> 秒。	Adamant 5.9.2 CHT exact FormKey seed
0000000A	01CE9F:Skyrim.esm	MGEF	MAG_BoundSwordFFSelf	FULL	0	Bound Sword	長劍塑形術	Adamant 5.9.2 CHT exact FormKey seed
0000000B	01CE9F:Skyrim.esm	MGEF	MAG_BoundSwordFFSelf	DNAM	0	Summons a Bound Sword for <dur> seconds.	召喚一把魔力塑形長劍，持續 <dur> 秒。	Adamant 5.9.2 CHT exact FormKey seed
0000000C	01CEA0:Skyrim.esm	MGEF	MAG_BoundBowFFSelf	FULL	0	Bound Bow	戰弓塑形術	Adamant 5.9.2 CHT exact FormKey seed
0000000D	01CEA0:Skyrim.esm	MGEF	MAG_BoundBowFFSelf	DNAM	0	Summons a Bound Bow for <dur> seconds.	召喚一把魔力塑形戰弓，持續 <dur> 秒。	Adamant 5.9.2 CHT exact FormKey seed
0000000E	01CEA7:Skyrim.esm	MGEF	MAG_RestoreHealthFFActor	FULL	0	Restore Health	回復生命	Adamant 5.9.2 CHT exact FormKey seed
0000000F	01CEA7:Skyrim.esm	MGEF	MAG_RestoreHealthFFActor	DNAM	0	Restores <mag> Health to living targets.	恢復活著的目標 <mag> 點生命。	Adamant 5.9.2 CHT exact FormKey seed
00000010	026D7A:Skyrim.esm	MGEF	MAG_PerkHiddenThreatInvisibillityFFContact	FULL	0	Hidden Threat Invisibility	Hidden Threat Invisibility	Adamant 5.9.2 CHT exact FormKey seed
00000011	026D7A:Skyrim.esm	MGEF	MAG_PerkHiddenThreatInvisibillityFFContact	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000012	0424FA:Skyrim.esm	MGEF	MAG_BoundSwordMysticFFSelf40	FULL	0	Bound Sword	長劍塑形術	Adamant 5.9.2 CHT exact FormKey seed
00000013	0424FA:Skyrim.esm	MGEF	MAG_BoundSwordMysticFFSelf40	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000014	0424FF:Skyrim.esm	MGEF	MAG_BoundBattleAxeMysticFFSelf40	FULL	0	Bound Battleaxe	巨斧塑形術	Adamant 5.9.2 CHT exact FormKey seed
00000015	0424FF:Skyrim.esm	MGEF	MAG_BoundBattleAxeMysticFFSelf40	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000016	042500:Skyrim.esm	MGEF	MAG_BoundBowMysticFFSelf40	FULL	0	Bound Bow	戰弓塑形術	Adamant 5.9.2 CHT exact FormKey seed
00000017	042500:Skyrim.esm	MGEF	MAG_BoundBowMysticFFSelf40	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000018	050CEC:Skyrim.esm	MGEF	MAG_PerkMasterMindCourageFFSelfHealth	FULL	0	Fortify Health	強化生命	Adamant 5.9.2 CHT exact FormKey seed
00000019	050CEC:Skyrim.esm	MGEF	MAG_PerkMasterMindCourageFFSelfHealth	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
0000001A	050CED:Skyrim.esm	MGEF	MAG_PerkMasterMindCourageFFSelfStamina	FULL	0	Fortify Stamina	強化耐力	Adamant 5.9.2 CHT exact FormKey seed
0000001B	050CED:Skyrim.esm	MGEF	MAG_PerkMasterMindCourageFFSelfStamina	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
0000001C	05312C:Skyrim.esm	MGEF	MAG_CircleofProtectionFFSelf75	FULL	0	Circle of Protection	庇護領域術	Adamant 5.9.2 CHT exact FormKey seed
0000001D	05312C:Skyrim.esm	MGEF	MAG_CircleofProtectionFFSelf75	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
0000001E	069CE6:Skyrim.esm	MGEF	MAG_EnchBoundSwordFX	FULL	0	Bound Sword	長劍塑形術	Adamant 5.9.2 CHT exact FormKey seed
0000001F	069CE6:Skyrim.esm	MGEF	MAG_EnchBoundSwordFX	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000020	07E8E0:Skyrim.esm	MGEF	MAG_ReanimateThrallFFAimed	FULL	0	Reanimate Thrall	喚起屍僕	Adamant 5.9.2 CHT exact FormKey seed
00000021	07E8E0:Skyrim.esm	MGEF	MAG_ReanimateThrallFFAimed	DNAM	0	Reanimates a corpse up to level <mag> for <dur> seconds.	喚醒最高 <mag> 級的屍體，持續 <dur> 秒。	Adamant 5.9.2 CHT exact FormKey seed
00000022	096D0D:Skyrim.esm	MGEF	MAG_ReanimateFFAimed75	FULL	0	Reanimate	喚起亡者	Adamant 5.9.2 CHT exact FormKey seed
00000023	096D0D:Skyrim.esm	MGEF	MAG_ReanimateFFAimed75	DNAM	0	Reanimates a corpse up to level <mag> for <dur> seconds.	喚醒最高 <mag> 級的屍體，持續 <dur> 秒。	Adamant 5.9.2 CHT exact FormKey seed
00000024	09E0BB:Skyrim.esm	MGEF	MAG_PerkMasterMindCalmFFAimed	FULL	0	Master of the Mind	心靈掌控大師	Adamant 5.9.2 CHT exact FormKey seed
00000025	09E0BB:Skyrim.esm	MGEF	MAG_PerkMasterMindCalmFFAimed	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000026	09E0BC:Skyrim.esm	MGEF	MAG_PerkMasterMindCalmFFAimedArea	FULL	0	Master of the Mind	心靈掌控大師	Adamant 5.9.2 CHT exact FormKey seed
00000027	09E0BC:Skyrim.esm	MGEF	MAG_PerkMasterMindCalmFFAimedArea	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000028	09E0BD:Skyrim.esm	MGEF	MAG_PerkMasterMindCalmFFSelfArea100	FULL	0	Master of the Mind	心靈掌控大師	Adamant 5.9.2 CHT exact FormKey seed
00000029	09E0BD:Skyrim.esm	MGEF	MAG_PerkMasterMindCalmFFSelfArea100	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
0000002A	09E0BE:Skyrim.esm	MGEF	MAG_PerkMasterMindFrenzyFFAimed00	FULL	0	Frenzy	狂心	Adamant 5.9.2 CHT exact FormKey seed
0000002B	09E0BE:Skyrim.esm	MGEF	MAG_PerkMasterMindFrenzyFFAimed00	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
0000002C	09E0BF:Skyrim.esm	MGEF	MAG_PerkMasterMindFrenzyFFAimedArea50	FULL	0	Master of the Mind	心靈掌控大師	Adamant 5.9.2 CHT exact FormKey seed
0000002D	09E0BF:Skyrim.esm	MGEF	MAG_PerkMasterMindFrenzyFFAimedArea50	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
0000002E	09E0C0:Skyrim.esm	MGEF	MAG_PerkMasterMindFrenzyFFSelfArea100	FULL	0	Master of the Mind	心靈掌控大師	Adamant 5.9.2 CHT exact FormKey seed
0000002F	09E0C0:Skyrim.esm	MGEF	MAG_PerkMasterMindFrenzyFFSelfArea100	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000030	09E0C1:Skyrim.esm	MGEF	MAG_PerkMasterMindFearFFAimed25	FULL	0	Master of the Mind	心靈掌控大師	Adamant 5.9.2 CHT exact FormKey seed
00000031	09E0C1:Skyrim.esm	MGEF	MAG_PerkMasterMindFearFFAimed25	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000032	09E0C2:Skyrim.esm	MGEF	MAG_PerkMasterMindFearFFAimedArea75	FULL	0	Master of the Mind	心靈掌控大師	Adamant 5.9.2 CHT exact FormKey seed
00000033	09E0C2:Skyrim.esm	MGEF	MAG_PerkMasterMindFearFFAimedArea75	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000034	09E0C3:Skyrim.esm	MGEF	MAG_PerkMasterMindFearFFSelfArea250	FULL	0	Master of the Mind	心靈掌控大師	Adamant 5.9.2 CHT exact FormKey seed
00000035	09E0C3:Skyrim.esm	MGEF	MAG_PerkMasterMindFearFFSelfArea250	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000036	09E0C4:Skyrim.esm	MGEF	MAG_PerkMasterMindCourageFFSelfArea	FULL	0	Master of the Mind	心靈掌控大師	Adamant 5.9.2 CHT exact FormKey seed
00000037	09E0C4:Skyrim.esm	MGEF	MAG_PerkMasterMindCourageFFSelfArea	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
00000038	0A3F62:Skyrim.esm	MGEF	MAG_PerkAvoidDeath	FULL	0	Avoid Death	瀕死救贖	Adamant 5.9.2 CHT exact FormKey seed
00000039	0A3F62:Skyrim.esm	MGEF	MAG_PerkAvoidDeath	DNAM	0			Adamant 5.9.2 CHT exact FormKey seed
