string_id	form_key	record_type	editor_id	field	occurrence	source	target	provenance
00000001	000803:ccbgssse037-curios.esl	MGEF	ccBGSSSE037_AlchNightEye	FULL	0	Night Eye	夜視	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000002	000803:ccbgssse037-curios.esl	MGEF	ccBGSSSE037_AlchNightEye	DNAM	0	Improved night vision for <dur> seconds.	提升夜視能力，持續 <dur> 秒。	Apothecary 1.4.0 CHS exact FormKey; OpenCC s2twp + terminology review
00000003	000812:ccbgssse037-curios.esl	MGEF	ccBGSSSE037_AlchAbsorbSpell	FULL	0	Spell Absorption	法術吸收	existing Simonrim Traditional Chinese exact phrase
00000004	000812:ccbgssse037-curios.esl	MGEF	ccBGSSSE037_AlchAbsorbSpell	DNAM	0	Absorb <mag>% of the Magicka from hostile spells for <dur> seconds.	從受到的法術中吸收 <mag>% 的法力，持續 <dur> 秒。	Apothecary 1.4.0 CHS exact FormKey; OpenCC s2twp + terminology review
00000005	000846:ccbgssse037-curios.esl	MGEF	ccBGSSSE037_AlchLight	FULL	0	Light	光亮	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000006	000846:ccbgssse037-curios.esl	MGEF	ccBGSSSE037_AlchLight	DNAM	0	Emits a small light that lasts for <dur> seconds.	發出一道微弱的光源，持續 <dur> 秒。	Apothecary 1.4.0 CHS exact FormKey; OpenCC s2twp + terminology review
00000007	000852:ccbgssse037-curios.esl	MGEF	ccBGSSSE037_AlchDamageHealthDuration	FULL	0	Apple Poisoning	浸毒蘋果	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000008	000852:ccbgssse037-curios.esl	MGEF	ccBGSSSE037_AlchDamageHealthDuration	DNAM	0	Deals <mag> Poison damage per second for <dur> seconds.	每秒造成 <mag> 點毒素傷害，持續 <dur> 秒。	Apothecary terminology review
00000009	000802:ccbgssse037-curios.esl	INGR	ccBGSSSE037_BunglersBane	FULL	0	Bungler's Bane	生手剋星	Skyrim Traditional Chinese 8.20 exact FormKey and English source
0000000A	000804:ccbgssse037-curios.esl	INGR	ccBGSSSE037_Chokeweed	FULL	0	Chokeweed	窒息草	Skyrim Traditional Chinese 8.20 exact FormKey and English source
0000000B	000805:ccbgssse037-curios.esl	INGR	ccBGSSSE037_CodaFlower	FULL	0	Coda Flower	科達花	Skyrim Traditional Chinese 8.20 exact FormKey and English source
0000000C	000806:ccbgssse037-curios.esl	INGR	ccBGSSSE037_Comberry	FULL	0	Comberry	康莓	Skyrim Traditional Chinese 8.20 exact FormKey and English source
0000000D	000807:ccbgssse037-curios.esl	INGR	ccBGSSSE037_CongealedPutrescence	FULL	0	Congealed Putrescence	凝固的腐爛物	Skyrim Traditional Chinese 8.20 exact FormKey and English source
0000000E	000809:ccbgssse037-curios.esl	INGR	ccBGSSSE037_CorkbulbRoot	FULL	0	Corkbulb Root	軟木球莖根	Skyrim Traditional Chinese 8.20 exact FormKey and English source
0000000F	00080A:ccbgssse037-curios.esl	INGR	ccBGSSSE037_DaedraSilk	FULL	0	Daedra Silk	魔族蛛絲	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000010	00080B:ccbgssse037-curios.esl	INGR	ccBGSSSE037_DaedraVenin	FULL	0	Daedra Venin	魔族蛛毒	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000011	00080C:ccbgssse037-curios.esl	INGR	ccBGSSSE037_HungerTongue	FULL	0	Hunger Tongue	餓魔的舌頭	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000012	00080D:ccbgssse037-curios.esl	INGR	ccBGSSSE037_HydnumAzureGiantSpore	FULL	0	Hydnum Azure Giant Spore	天青齒菌的巨型孢子	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000013	00080E:ccbgssse037-curios.esl	INGR	ccBGSSSE037_HyphaFacia	FULL	0	Hypha Facia	牌狀菌絲體	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000014	00080F:ccbgssse037-curios.esl	INGR	ccBGSSSE037_ImpGall	FULL	0	Imp Gall	小惡魔膽汁	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000015	000810:ccbgssse037-curios.esl	INGR	ccBGSSSE037_KagoutiHide	FULL	0	Kagouti Hide	喀骨蹄的皮	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000016	000811:ccbgssse037-curios.esl	INGR	ccBGSSSE037_KreshFiber	FULL	0	Kresh Fiber	克雷什纖維	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000017	000813:ccbgssse037-curios.esl	INGR	ccBGSSSE037_LuminousRussula	FULL	0	Luminous Russula	螢斑紅菇	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000018	000814:ccbgssse037-curios.esl	INGR	ccBGSSSE037_Marshmerrow	FULL	0	Marshmerrow	濕地蔗	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000019	000815:ccbgssse037-curios.esl	INGR	ccBGSSSE037_MinotaurHorn	FULL	0	Minotaur Horn	牛首人犄角	Skyrim Traditional Chinese 8.20 exact FormKey and English source
0000001A	000816:ccbgssse037-curios.esl	INGR	ccBGSSSE037_OgresTeeth	FULL	0	Ogre's Teeth	食人魔牙齒	Skyrim Traditional Chinese 8.20 exact FormKey and English source
0000001B	000817:ccbgssse037-curios.esl	INGR	ccBGSSSE037_RedKelpGasBladder	FULL	0	Red Kelp Gas Bladder	紅藻氣囊	Skyrim Traditional Chinese 8.20 exact FormKey and English source
