string_id	form_key	record_type	editor_id	field	occurrence	source	target	provenance
00000001	073F30:Skyrim.esm	MGEF	MAG_AlchParalysis	FULL	0	Paralysis	麻痺	Apothecary terminology review
00000002	073F30:Skyrim.esm	MGEF	MAG_AlchParalysis	DNAM	0	Targets up to level <mag> are paralyzed for <dur> seconds.	最高 <mag> 級的目標麻痺，持續 <dur> 秒。	Apothecary 1.3.9 CHS exact FormKey; OpenCC s2twp + terminology review
00000003	073F51:Skyrim.esm	MGEF	MAG_AlchReflectDamage	FULL	0	Reflect Damage	反射傷害	Apothecary 1.3.9 CHS exact FormKey; OpenCC s2twp + terminology review
00000004	073F51:Skyrim.esm	MGEF	MAG_AlchReflectDamage	DNAM	0	You reflect <mag>% of incoming melee damage back at your attacker for <dur> seconds.	將受到的近戰傷害反射 <mag>% 給攻擊者，持續 <dur> 秒。	Apothecary terminology review
00000005	090042:Skyrim.esm	MGEF	MAG_AlchWeaknessPoison	FULL	0	Weakness to Poison	毒素虛弱	Skyrim Traditional Chinese 8.20 exact FormKey and English source
00000006	090042:Skyrim.esm	MGEF	MAG_AlchWeaknessPoison	DNAM	0	Reduces enemy Poison Resistance by <mag>% for <dur> seconds.	降低敵人毒素抗性 <mag>%，持續 <dur> 秒。	existing Simonrim Traditional Chinese exact phrase
00000007	0AE722:Skyrim.esm	MGEF	MAG_AlchCureDisease	FULL	0	Cure Disease	治療疾病	existing Simonrim Traditional Chinese exact phrase
00000008	0AE722:Skyrim.esm	MGEF	MAG_AlchCureDisease	DNAM	0	Cures all diseases.	治療所有疾病。	Apothecary 1.3.9 CHS exact FormKey; OpenCC s2twp + terminology review
00000009	090041:Skyrim.esm	MGEF	MAG_AlchResistPoison	FULL	0	Resist Poison	毒素抗性	existing Simonrim Traditional Chinese exact phrase
0000000A	090041:Skyrim.esm	MGEF	MAG_AlchResistPoison	DNAM	0	Your Poison Resistance is increased by <mag>% for <dur> seconds.	提高毒素抗性 <mag>%，持續 <dur> 秒。	existing Simonrim Traditional Chinese exact phrase
