# Better Third Person Selection 0.8.9 — reviewable Traditional Chinese source
# Format: key<TAB>translation. Keys and their order are copied from the active 0.8.9 English file.
$BetterThidPersonSelection	更佳第三人稱選取
$BetterThirdPersonSelection_GeneralPage	一般
$BetterThirdPersonSelection_GeneralSettings_HeaderText	一般設定
$BetterThirdPersonSelection_IsEnabledInFirstPerson_OptionText	第一人稱時啟用
$BetterThirdPersonSelection_IsEnabledInFirstPerson_InfoText	在第一人稱時啟用／停用自訂物件選取演算法。不影響所選物件的顯示方式。
$BetterThirdPersonSelection_IsEnabledInThirdPerson_OptionText	第三人稱時啟用
$BetterThirdPersonSelection_IsEnabledInThirdPerson_InfoText	在第三人稱時啟用／停用自訂物件選取演算法。不影響所選物件的顯示方式。
$BetterThirdPersonSelection_IsEnabledOnHorseBack_OptionText	騎乘時啟用
$BetterThirdPersonSelection_IsEnabledOnHorseBack_InfoText	騎乘時啟用／停用自訂物件選取演算法。不影響所選物件的顯示方式。
$BetterThirdPersonSelection_IsEnabledInCombat_OptionText	戰鬥中啟用
$BetterThirdPersonSelection_IsEnabledInCombat_InfoText	戰鬥中啟用／停用自訂物件選取演算法。不影響所選物件的顯示方式。
$BetterThirdPersonSelection_IsEnabledWithWeaponsDrawn_OptionText	拔出武器時啟用
$BetterThirdPersonSelection_IsEnabledWithWeaponsDrawn_InfoText	玩家拔出武器時啟用／停用自訂物件選取演算法。不影響所選物件的顯示方式。
$BetterThirdPersonSelection_ControlSettings_HeaderText	控制設定
$BetterThirdPersonSelection_EnableObjectCycle_OptionText	啟用物件循環切換
$BetterThirdPersonSelection_EnableObjectCycle_InfoText	使用 [modifier key] + [object cycling up/down key] 在範圍內所有有效物件間循環切換。
$BetterThirdPersonSelection_EnableContinuousObjectCycle_OptionText	啟用連續物件循環切換
$BetterThirdPersonSelection_EnableContinuousObjectCycle_InfoText	循環切換到達最大或最小索引時會回繞，因此可持續切換。
$BetterThirdPersonSelection_ObjectCycleModifierKey_OptionText	物件循環切換修飾鍵
$BetterThirdPersonSelection_ObjectCycleModifierKey_InfoText	啟用後，使用此鍵 + [object cycling up/down key] 在範圍內所有有效物件間循環切換。
$BetterThirdPersonSelection_ObjectCycleUpKey_OptionText	物件循環切換－向上鍵
$BetterThirdPersonSelection_ObjectCycleUpKey_InfoText	啟用後，使用 [modifier key] + 此鍵在範圍內所有有效物件間循環切換。建議保留為滑鼠滾輪。
$BetterThirdPersonSelection_ObjectCycleDownKey_OptionText	物件循環切換－向下鍵
$BetterThirdPersonSelection_ObjectCycleDownKey_InfoText	啟用後，使用 [modifier key] + 此鍵在範圍內所有有效物件間循環切換。建議保留為滑鼠滾輪。
$BetterThirdPersonSelection_CycleDelayMS_OptionText	物件循環切換－按鍵延遲
$BetterThirdPersonSelection_CycleDelayMS_InfoText	登錄循環向上／向下按鍵輸入之間的延遲時間（毫秒）。
$BetterThirdPersonSelection_SelectionRanges_HeaderText	選取範圍設定
$BetterThirdPersonSelection_MaxAngleDif_OptionText	最大角度
$BetterThirdPersonSelection_MaxAngleDif_InfoText	相機必須多準確地指向物件（2.0 = 接受玩家周圍完整 360 度）。
$BetterThirdPersonSelection_MaxAngleDif_HorseBack_OptionText	最大角度（騎乘）
$BetterThirdPersonSelection_MaxAngleDif_HorseBack_InfoText	騎乘時相機必須多準確地指向物件（2.0 = 接受玩家周圍完整 360 度）。
$BetterThirdPersonSelection_MaxInteractionRange_OptionText	互動範圍
$BetterThirdPersonSelection_MaxInteractionRange_InfoText	角色與物件之間允許的最大距離（以 Skyrim 單位計）。原生準星選取不受此限制，仍使用基礎遊戲決定的數值。高數值會嚴重影響效能。
$BetterThirdPersonSelection_MaxInteractionRange_HorseBack_OptionText	互動範圍（騎乘）
$BetterThirdPersonSelection_MaxInteractionRange_HorseBack_InfoText	騎乘時角色與物件之間允許的最大距離（以 Skyrim 單位計）。原生準星選取不受此限制，仍使用基礎遊戲決定的數值。高數值會嚴重影響效能。
$BetterThirdPersonSelection_HoldToDismount_HeaderText	長按下馬設定
$BetterThirdPersonSelection_IsHoldToDismountEnabled_HorseBack_OptionText	啟用長按下馬
$BetterThirdPersonSelection_IsHoldToDismountEnabled_HorseBack_InfoText	騎乘時，長按啟動鍵會讓角色下馬，而不是在未選取任何物件時單按啟動鍵。
$BetterThirdPersonSelection_HoldToDismountTime_HorseBack_OptionText	長按時間
$BetterThirdPersonSelection_HoldToDismountTime_HorseBack_InfoText	啟用長按下馬後，這是啟動鍵必須按住多久（秒）才會下馬。
