$ImGladYoureHere	很高興你在這裡
$YES	是
$NO	否
$General_Page	一般設定
$Follower_Page	追隨者設定
$Family_Page	家庭設定
$Letter_Page	信件設定
$Patches_Page	補丁
$Back	返回
$Off	關閉
$Notifications	允許通知
$Notifications_Help	設定是否啟用本模組的訊息通知。包括但不限於：增益效果套用與失效。無論此設定為何，都會回報警告與錯誤。
$UnequipShields	卸下 NPC 盾牌
$UnequipShields_Help	啟用後，NPC 會在擁抱前自動卸下已裝備的盾牌，但不會自動重新裝備。預設關閉，因為大多數使用者可能已有背盾模組而不會遇到此問題；若盾牌妨礙擁抱動畫，這可能是實用的解決方法。
$SheatheWeapons	自動收起武器
$SheatheWeapons_Help	若以拔出武器的狀態開始對話，會在擁抱前自動收起玩家與 NPC 的武器。帶著武器擁抱可能使武器出錯！建議將此選項保持啟用作為保護措施；只有在你想拍攝史詩般的持武擁抱畫面時才停用。
$BoonSettings	遊戲增益設定
$Boon	擁抱後套用遊戲增益
$Boon_Help	設定感謝互動後是否套用遊戲增益。（此設定獨立於擁抱設定；即使實際動畫已停用，仍可套用增益。）擁抱追隨者會將增益套用至追隨者；擁抱配偶或收養的孩子則會套用至玩家。
$FollowerBoonDuration	追隨者增益持續時間
$FollowerBoonDuration_Help	設定套用至被擁抱追隨者的增益持續時間（遊戲內小時）。
$FamilyBoonDuration	家庭增益持續時間
$FamilyBoonDuration_Help	設定擁抱配偶或孩子時套用至玩家與被擁抱配偶的增益持續時間（遊戲內小時）。
$BoonMagnitudePercent	增益強度
$BoonMagnitudePercent_Help	設定增益屬性提升的強度（以 % 為單位）。擁抱追隨者會使其生命值提高此 %；擁抱配偶會使玩家與配偶的生命值和耐力提高此 %；擁抱孩子則會使玩家的魔力提高此 %。
$CameraSettings	鏡頭設定
$forceCameraNPC	強制成人視角
$forceCameraNPC_Help	允許你在擁抱成人 NPC 前強制玩家切換為指定的鏡頭視角（可於下方選擇）。若未使用相容的第一人稱鏡頭模組，建議啟用。
$forceCameraChild	強制孩童視角
$forceCameraChild_Help	允許你在擁抱孩童前強制玩家切換為指定的鏡頭視角（可於下方選擇）。建議始終啟用，因為孩童的第一人稱動畫效果不佳。
$forceCameraAnimal	強制動物視角
