string_id	form_key	record_type	editor_id	field	occurrence	source	target	provenance
00000001	D738B0:MysticismMagic.esp	CLAS	MAG_SkeletonMageClass	FULL	0	Draugr Warlock	Draugr Warlock	Mysticism 2.4.2 CHT exact FormKey seed
00000002	010002:MysticismMagic.esp	CLAS	MAG_EncClassDremoraRanged	FULL	0	Dremora	魔人	Mysticism 2.4.2 CHT exact FormKey seed
00000003	5341AB:MysticismMagic.esp	FACT	MAG_ServicesDBFestus	FULL	0	Festus spell vendor	Festus spell vendor	Mysticism 2.4.2 CHT exact FormKey seed
00000004	D6E7AD:MysticismMagic.esp	HDPT	MAG_HairMaleDremora03	FULL	0	HairMaleDremora03	HairMaleDremora03	Mysticism 2.4.2 CHT exact FormKey seed
00000005	0131F0:Skyrim.esm	RACE	DremoraRace	FULL	0	Dremora	Dremora	Mysticism 2.4.2 CHT exact FormKey seed
00000006	427952:MysticismMagic.esp	RACE	MAG_DremoraRaceShield	FULL	0	Dremora	Dremora	Mysticism 2.4.2 CHT exact FormKey seed
00000007	292675:MysticismMagic.esp	MGEF	MAG_WeaknessFireFFAimed50	FULL	0	Weakness to Fire	火焰弱化	Mysticism 2.4.2 CHT exact FormKey seed
00000008	292675:MysticismMagic.esp	MGEF	MAG_WeaknessFireFFAimed50	DNAM	0	Reduces enemy Fire Resistance by <mag>% for <dur> seconds.	降低敵人火焰抗性 <mag>%，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
00000009	29267A:MysticismMagic.esp	MGEF	MAG_WeaknessFrostFFAimed50	FULL	0	Weakness to Frost	寒霜弱化	Mysticism 2.4.2 CHT exact FormKey seed
0000000A	29267A:MysticismMagic.esp	MGEF	MAG_WeaknessFrostFFAimed50	DNAM	0	Reduces enemy Frost Resistance by <mag>% for <dur> seconds.	降低敵人寒霜抗性 <mag>%，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
0000000B	29267E:MysticismMagic.esp	MGEF	MAG_WeaknessPoisonFFAimed50	FULL	0	Weakness to Poison	毒素弱化	Mysticism 2.4.2 CHT exact FormKey seed
0000000C	29267E:MysticismMagic.esp	MGEF	MAG_WeaknessPoisonFFAimed50	DNAM	0	Reduces enemy Poison Resistance by <mag>% for <dur> seconds.	降低敵人毒素抗性 <mag>%，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
0000000D	292683:MysticismMagic.esp	MGEF	MAG_FeatherFFSelf25	FULL	0	Fortify Carry Weight	強化負重	Mysticism 2.4.2 CHT exact FormKey seed
0000000E	292683:MysticismMagic.esp	MGEF	MAG_FeatherFFSelf25	DNAM	0	Your Carry Weight is increased by <mag> points for <dur> seconds.	提高負重 <mag> 點，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
0000000F	292687:MysticismMagic.esp	MGEF	MAG_FeatherFFSelf75	FULL	0	Fortify Carry Weight	強化負重	Mysticism 2.4.2 CHT exact FormKey seed
00000010	292687:MysticismMagic.esp	MGEF	MAG_FeatherFFSelf75	DNAM	0	Increases your Carry Weight by <mag> points for <dur> seconds.	提高負重 <mag> 點，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
00000011	29778E:MysticismMagic.esp	MGEF	MAG_FortifyUnarmedFFSelf25	FULL	0	Scaleskin	鱗膚術	Mysticism 2.4.2 CHT exact FormKey seed
00000012	29778E:MysticismMagic.esp	MGEF	MAG_FortifyUnarmedFFSelf25	DNAM	0	Improves unarmed damage by <mag> points for <dur> seconds.	提高徒手傷害 <mag> 點，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
00000013	297790:MysticismMagic.esp	MGEF	MAG_FortifyUnarmedFFSelf50	FULL	0	Stoneskin	石膚術	Mysticism 2.4.2 CHT exact FormKey seed
00000014	297790:MysticismMagic.esp	MGEF	MAG_FortifyUnarmedFFSelf50	DNAM	0	Improves unarmed damage by <mag> points for <dur> seconds.	提高徒手傷害 <mag> 點，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
00000015	297791:MysticismMagic.esp	MGEF	MAG_FortifyUnarmedFFSelf75	FULL	0	Ironskin	鐵膚術	Mysticism 2.4.2 CHT exact FormKey seed
00000016	297791:MysticismMagic.esp	MGEF	MAG_FortifyUnarmedFFSelf75	DNAM	0	Improves unarmed damage by <mag> points for <dur> seconds.	提高徒手傷害 <mag> 點，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
00000017	29779A:MysticismMagic.esp	MGEF	MAG_FortifySpeedFFSelf75	FULL	0	Windrunner	風乘者	Mysticism 2.4.2 CHT exact FormKey seed
00000018	29779A:MysticismMagic.esp	MGEF	MAG_FortifySpeedFFSelf75	DNAM	0	Your Movement Speed is increased by <mag>% for <dur> seconds.	提高移動速度 <mag>%，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
00000019	29779F:MysticismMagic.esp	MGEF	MAG_SlowfallFFSelf	FULL	0	Slowfall	緩落術	Mysticism 2.4.2 CHT exact FormKey seed
0000001A	29779F:MysticismMagic.esp	MGEF	MAG_SlowfallFFSelf	DNAM	0	You take no damage from falling for <dur> seconds.	墜落時不受到傷害，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
0000001B	29C8A5:MysticismMagic.esp	MGEF	MAG_DamageHealthConcSelf0	FULL	0	Damage Health	減損生命	Mysticism 2.4.2 CHT exact FormKey seed
0000001C	29C8A5:MysticismMagic.esp	MGEF	MAG_DamageHealthConcSelf0	DNAM	0			Mysticism 2.4.2 CHT exact FormKey seed
0000001D	F36358:MysticismMagic.esp	MGEF	MAG_CircleofStrengthFFSelf100Dummy	FULL	0	Fortify Stamina Regeneration	強化耐力再生	Mysticism 2.4.2 CHT exact FormKey seed
0000001E	F36358:MysticismMagic.esp	MGEF	MAG_CircleofStrengthFFSelf100Dummy	DNAM	0	Creates a circle on the ground that lasts for <dur> seconds. Standing inside the circle restores <20> Stamina per second.	在地面上創建一個領域，持續 <dur> 秒。站在領域內每秒恢復 <20> 點耐力。	Mysticism 2.5.0 custom; Skyrim 8.20 terminology
0000001F	29C8A6:MysticismMagic.esp	MGEF	MAG_RestoreMagickaConcSelf100	FULL	0	Restore Magicka	恢復法力	Mysticism 2.4.2 CHT exact FormKey seed
00000020	29C8A6:MysticismMagic.esp	MGEF	MAG_RestoreMagickaConcSelf100	DNAM	0			Mysticism 2.4.2 CHT exact FormKey seed
00000021	29C8A8:MysticismMagic.esp	MGEF	MAG_DamageArmorFFAimed25	FULL	0	Damage Armor	損壞護甲術	Mysticism 2.4.2 CHT exact FormKey seed
00000022	29C8A8:MysticismMagic.esp	MGEF	MAG_DamageArmorFFAimed25	DNAM	0	Reduces enemy Armor Rating by <mag> for <dur> seconds.	降低敵人護具防禦力 <mag>，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
00000023	F36359:MysticismMagic.esp	MGEF	MAG_CircleofStrengthFFSelf100Dummy01	FULL	0	Fortify Stamina Regeneration	強化耐力再生	Mysticism 2.4.2 CHT exact FormKey seed
00000024	F36359:MysticismMagic.esp	MGEF	MAG_CircleofStrengthFFSelf100Dummy01	DNAM	0			Mysticism 2.4.2 CHT exact FormKey seed
00000025	29C8AA:MysticismMagic.esp	MGEF	MAG_DamageWeaponFFAimed25	FULL	0	Damage Weapon	損壞武器術	Mysticism 2.4.2 CHT exact FormKey seed
00000026	29C8AA:MysticismMagic.esp	MGEF	MAG_DamageWeaponFFAimed25	DNAM	0			Mysticism 2.4.2 CHT exact FormKey seed
00000027	29C8AE:MysticismMagic.esp	MGEF	MAG_DamageConstructFFAimed50	FULL	0	Damage Construct	構裝體損壞術	Mysticism 2.4.2 CHT exact FormKey seed
00000028	29C8AE:MysticismMagic.esp	MGEF	MAG_DamageConstructFFAimed50	DNAM	0	Deals <mag> Magic damage per second for <dur> seconds to Dwarven automatons. 	每秒對矮人機械造成 <mag> 點魔法傷害，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
00000029	2ABBDB:MysticismMagic.esp	MGEF	MAG_DispelFFSelf	FULL	0	Dispel	驅散術	Mysticism 2.4.2 CHT exact FormKey seed
0000002A	2ABBDB:MysticismMagic.esp	MGEF	MAG_DispelFFSelf	DNAM	0	You dispel all magical effects on yourself.	驅散自身身上所有魔法效果。	Mysticism 2.4.2 CHT exact FormKey seed
0000002B	2B0CE8:MysticismMagic.esp	MGEF	MAG_SilenceFFAimed25Dummy	FULL	0	Silence	沉默	Mysticism 2.4.2 CHT exact FormKey seed
0000002C	2B0CE8:MysticismMagic.esp	MGEF	MAG_SilenceFFAimed25Dummy	DNAM	0			Mysticism 2.4.2 CHT exact FormKey seed
0000002D	00014C:Skyrim.esm	MGEF	MAG_WardConcSelf0	FULL	0	Lesser Ward	初階結界術	Mysticism 2.4.2 CHT exact FormKey seed
0000002E	00014C:Skyrim.esm	MGEF	MAG_WardConcSelf0	DNAM	0	Negates up to <mag> points of spell damage. 	吸收最多 <mag> 點法術傷害。	Mysticism 2.4.2 CHT exact FormKey seed
0000002F	012F03:Skyrim.esm	MGEF	MAG_FireDamageFFAimed25	FULL	0	Fire Damage	火焰傷害	Mysticism 2.4.2 CHT exact FormKey seed
00000030	012F03:Skyrim.esm	MGEF	MAG_FireDamageFFAimed25	DNAM	0	Deals <mag> Fire damage. Targets on fire take extra damage over time.	造成 <mag> 點火焰傷害。燃燒中的目標受到額外的持續傷害。	Mysticism 2.4.2 CHT exact FormKey seed
00000031	013CA9:Skyrim.esm	MGEF	MAG_FireDamageConcAimed00	FULL	0	Fire Damage	火焰傷害	Mysticism 2.4.2 CHT exact FormKey seed
00000032	013CA9:Skyrim.esm	MGEF	MAG_FireDamageConcAimed00	DNAM	0	Deals <mag> Fire damage per second. Targets on fire take extra damage over time.	每秒造成 <mag> 點火焰傷害。燃燒中的目標受到額外的持續傷害。	Mysticism 2.4.2 CHT exact FormKey seed
00000033	013CAA:Skyrim.esm	MGEF	MAG_FrostDamageConcAimed00	FULL	0	Frostbite	冰寒術	Mysticism 2.4.2 CHT exact FormKey seed
00000034	013CAA:Skyrim.esm	MGEF	MAG_FrostDamageConcAimed00	DNAM	0	Deals <mag> Frost damage per second to Health and Stamina.	每秒對生命與耐力造成 <mag> 點的寒霜傷害。	Mysticism 2.4.2 CHT exact FormKey seed
00000035	013CAB:Skyrim.esm	MGEF	MAG_ShockDamageConcAimed00	FULL	0	Sparks	電擊術	Mysticism 2.4.2 CHT exact FormKey seed
00000036	013CAB:Skyrim.esm	MGEF	MAG_ShockDamageConcAimed00	DNAM	0	Deals <mag> Shock damage per second to Health and Magicka. 	每秒對生命與法力造成 <mag> 點的閃電傷害。	Mysticism 2.4.2 CHT exact FormKey seed
00000037	0153D3:Skyrim.esm	MGEF	MAG_PerkImpactStaggerPushFFAimed	FULL	0	Perk Impact Stagger	Perk Impact Stagger	Mysticism 2.4.2 CHT exact FormKey seed
00000038	0153D3:Skyrim.esm	MGEF	MAG_PerkImpactStaggerPushFFAimed	DNAM	0			Mysticism 2.4.2 CHT exact FormKey seed
00000039	01A4C9:Skyrim.esm	MGEF	MAG_AbTelekinesisEffect	FULL	0	Telekinesis Ability Effect	Telekinesis Ability Effect	Mysticism 2.4.2 CHT exact FormKey seed
0000003A	01A4C9:Skyrim.esm	MGEF	MAG_AbTelekinesisEffect	DNAM	0			Mysticism 2.4.2 CHT exact FormKey seed
0000003B	01A4CB:Skyrim.esm	MGEF	MAG_TelekinesisEffect	FULL	0	Telekinesis Effect	Telekinesis Effect	Mysticism 2.4.2 CHT exact FormKey seed
0000003C	01A4CB:Skyrim.esm	MGEF	MAG_TelekinesisEffect	DNAM	0	Levitates items from a distance. Release the spell to launch the item at foes. 	懸浮一定距離的物體，解除法術來投射它們對敵人造成傷害。	Mysticism 2.4.2 CHT exact FormKey seed
0000003D	01CE9E:Skyrim.esm	MGEF	MAG_BoundBattleAxeFFSelf	FULL	0	Bound Battleaxe	巨斧塑形術	Mysticism 2.4.2 CHT exact FormKey seed
0000003E	01CE9E:Skyrim.esm	MGEF	MAG_BoundBattleAxeFFSelf	DNAM	0	Summons a Bound Battleaxe for <dur> seconds.	召喚一把魔力塑形巨斧，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
0000003F	01CE9F:Skyrim.esm	MGEF	MAG_BoundSwordFFSelf	FULL	0	Bound Sword	長劍塑形術	Mysticism 2.4.2 CHT exact FormKey seed
00000040	01CE9F:Skyrim.esm	MGEF	MAG_BoundSwordFFSelf	DNAM	0	Summons a Bound Sword for <dur> seconds.	召喚一把魔力塑形長劍，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
00000041	01CEA0:Skyrim.esm	MGEF	MAG_BoundBowFFSelf	FULL	0	Bound Bow	戰弓塑形術	Mysticism 2.4.2 CHT exact FormKey seed
00000042	01CEA0:Skyrim.esm	MGEF	MAG_BoundBowFFSelf	DNAM	0	Summons a Bound Bow for <dur> seconds.	召喚一把魔力塑形戰弓，持續 <dur> 秒。	Mysticism 2.4.2 CHT exact FormKey seed
