$Wait Hotkey Active	等待熱鍵已啟用
$Wait Menu Hot Key	等待選單熱鍵
$Date Hotkey Active	設定日期熱鍵已啟用
$Set Date Hot Key	設定日期熱鍵
$Save game on wait	等待後儲存遊戲
$Days to use hour interval for:	使用小時間隔的天數：
$Hours Interval	小時間隔
$Use Hours Interval For last	最後使用小時間隔
$Combat Restriction	戰鬥限制
$Display Date First	優先顯示日期
$Weeks input	週數輸入
$Days input	天數輸入
$Hours input	小時輸入
$Weekday Bug Fix	平日錯誤修正
$Pause Needs	暫停需求模組
$Vitality Mode Paused	Vitality Mode 已暫停
$iNeed Paused	iNeed 已暫停
$RND Paused	RND 已暫停
$Vitality Mode Resumed	Vitality Mode 已恢復
$iNeed Resumed	iNeed 已恢復
$RND Resumed	RND 已恢復
$AltWait_PauseNeedsInfo	啟用後，模組會在等待時暫停需求類模組。目前支援 Vitality Mode、iNeed 與 Realistic Needs and Diseases 2.0。
$AltWait_WeekdayFixInfo	快速旅行時，有時會發生平日偏移的錯誤，導致顯示錯誤的平日。啟用後，此模組會偵測錯誤，並嘗試在等待後修正。
$AltWait_ActiveInfo	啟用或停用等待選單熱鍵。
$AltWait_DateActiveInfo	啟用或停用設定日期熱鍵。
$DateToggleInfo	啟用後，會在選擇等待時間前顯示目前日期。
$WeeksToggleInfo	啟用或停用使用等待熱鍵時的週數輸入。
$DaysToggleInfo	啟用或停用使用等待熱鍵時的天數輸入。
$HoursToggleInfo	啟用或停用使用等待熱鍵時的小時輸入。
$CombatRestrictInfo	啟用後，你無法在戰鬥中等待。
$SaveOnWaitInfo	啟用後，模組會在等待後自動儲存遊戲。
$AltWait_SleepInfo	供需求類模組使用。啟用後，你會進入睡眠，以免因等待而受罰。
$AltWait_EatDrinkInfo	供需求類模組使用。啟用後，你會食用原版食物和飲料，以免因等待而受罰。
$AltWait_DaysHourIntInfo	設定時間流逝的小時間隔。
$AltWait_DaysHourNumDaysInfo	設定等待多日時計時採用小時間隔的天數，讓時間流逝可見。設為 0 時，永遠一次只流逝 1 天，速度最快。
$AltWait_HKInfo	設定開啟替代等待選單的熱鍵。
$AltWait_DateHKInfo	設定開啟設定日期選單的熱鍵。可讓你設定特定日期，而不是等待。
$CombatWarning	戰鬥中無法等待
$Weeks to wait:	等待週數：
$Days to wait:	等待天數：
$Hours to wait:	等待小時：
$Set Year:	設定年份：
$Set Month:	設定月份：
$Set Day{}	設定日期（介於 1 到 {}）：
$Set Hour:	設定小時：
$AltWaitDigitWarning	請只輸入數字。已取消等待。
$AltWaitDigitWarningB	請只輸入數字。
$AltWait_MaxDaysWarning	日期超過該月份的最大天數。
$AltWait_MaxDaysWarningB	請選擇較小的數字。
$AltWait_LessThan1Warning	請選擇 1 或更大的數字。
$Wait Cancelled	已取消等待
$Yes	是
$No	否
$AltWaitForMenu	好的，請等待另一個選單顯示後再離開該區域。
$Wait Complete	等待完成
$Current Date Is:	目前日期為：
$Continue	繼續
$Year	年
$AltWait_weekday1	日耀日
$AltWait_weekday2	月耀日
$AltWait_weekday3	泰爾達斯
$AltWait_weekday4	米達斯
$AltWait_weekday5	圖爾達斯
$AltWait_weekday6	弗瑞達斯
$AltWait_weekday7	洛達斯
$AltWait_month1	晨星月
$AltWait_month2	曙光月
$AltWait_month3	初種月
$AltWait_month4	雨手月
$AltWait_month5	次種月
$AltWait_month6	年中月
$AltWait_month7	日高月
$AltWait_month8	末種月
$AltWait_month9	爐火月
$AltWait_month10	霜降月
$AltWait_month11	日暮月
$AltWait_month12	夜星月
$AltWaitDateWD_{}T_{}D_{}M_{}Y_{}	{} - {} - {} {} - 年份 {}
$AltWaitHourNumDays{}	{} 天
$AltWaitNeedsThresh{}	{} 小時
