key	source	target
$PROTEUS_MCM_PageGeneral	General	一般
$PROTEUS_MCM_PageHotkeys	Hotkeys	快捷鍵
$PROTEUS_MCM_HeaderPlayerOptions	Player Module Options	玩家模組選項
$PROTEUS_MCM_GreenExplosion	Green Explosion on Appearance Change	外觀變更時產生綠色爆炸
$PROTEUS_MCM_SpawnPerks	Spawns Have Perks	生成角色繼承天賦
$PROTEUS_MCM_SpawnSpells	Spawns Have Spells	生成角色繼承法術
$PROTEUS_MCM_LoadPresetAtStart	Load Preset on Player at Game Start	遊戲開始時為玩家載入預設
$PROTEUS_MCM_RaceMenuBackups	Create RaceMenu Backups on Save	儲存時建立 RaceMenu 備份
$PROTEUS_MCM_AlternativeDeath	Enable Proteus Alternative Death System	啟用 PROTEUS 替代死亡系統
$PROTEUS_MCM_HeaderNPCOptions	NPC Module Options	NPC 模組選項
$PROTEUS_MCM_HeaderHotkeyOptions	Hotkey Options:	快捷鍵選項
$PROTEUS_MCM_DisableHotkeys	Disable All Hotkeys	停用所有快捷鍵
$PROTEUS_MCM_HeaderPlayerHotkeys	Player Module Hotkeys:	玩家模組快捷鍵
$PROTEUS_MCM_PlayerMenu	Player Module Menu	玩家模組選單
$PROTEUS_MCM_SaveCharacter	Save Character	儲存角色
$PROTEUS_MCM_SwitchCharacter	Switch Character	切換角色
$PROTEUS_MCM_SummonCharacter	Summon Existing Character	召喚既有角色
$PROTEUS_MCM_LoadAppearance	Load Appearance Preset	載入外觀預設
$PROTEUS_MCM_LoadAppearanceItems	Load Appearance + Equipped Items Preset	載入外觀與已裝備物品預設
$PROTEUS_MCM_PlayerCheatMenu	Player Cheat Menu	玩家作弊選單
$PROTEUS_MCM_HeaderNPCHotkeys	NPC Module Hotkeys	NPC 模組快捷鍵
$PROTEUS_MCM_NPCMenu	NPC Module Menu	NPC 模組選單
$PROTEUS_MCM_ControlNPC	Take Control of NPC	控制 NPC
$PROTEUS_MCM_HeaderOtherHotkeys	Other Hotkeys	其他快捷鍵
$PROTEUS_MCM_ProteusWheel	Proteus Wheel	PROTEUS 輪盤
$PROTEUS_MCM_Spawner	Spawner	生成器
$PROTEUS_MCM_Weather	Weather	天氣
$PROTEUS_MCM_InfoDisableHotkeys	Enable to disable all hotkeys added by Project Proteus.\nDefault: false	啟用後，停用 Project Proteus 新增的所有快捷鍵。\n預設：關閉
$PROTEUS_MCM_InfoGreenExplosion	Enable to have green explosion emit from player character upon changing appearance.\nDefault: true	啟用後，玩家角色變更外觀時會產生綠色爆炸效果。\n預設：開啟
$PROTEUS_MCM_InfoSpawnPerks	Enable to have Proteus Spawns load perks from the associated player character.\nDefault: true	啟用後，PROTEUS 生成角色會載入所屬玩家角色的天賦。\n預設：開啟
$PROTEUS_MCM_InfoSpawnSpells	Enable to have Proteus Spawns load spells from the associated player character.\nDefault: true	啟用後，PROTEUS 生成角色會載入所屬玩家角色的法術。\n預設：開啟
$PROTEUS_MCM_InfoLoadPreset	Enable to have preset load on player at game start. Prevents appearance issues.\nDefault: true	啟用後，遊戲開始時會為玩家載入預設，以避免外觀問題。\n預設：開啟
$PROTEUS_MCM_InfoRaceMenuBackups	Enable to have create RaceMenu appearance backups each time you save your character into PROTEUS.\nDefault: false	啟用後，每次將角色儲存至 PROTEUS 時，都會建立 RaceMenu 外觀備份。\n預設：關閉
$PROTEUS_MCM_InfoAlternativeDeath	Enable to take full advantage of Proteus alternative death system.\nDefault: false	啟用後，可完整使用 PROTEUS 替代死亡系統。\n預設：關閉
