string_id	form_key	record_type	editor_id	field	occurrence	source	target	provenance
00000001	07A103:Skyrim.esm	MGEF	MAG_EnchFortifySneakConstantSelf	FULL	0	Fortify Sneak	強化潛行	existing curated Traditional Chinese exact phrase
00000002	07A103:Skyrim.esm	MGEF	MAG_EnchFortifySneakConstantSelf	DNAM	0	You are <mag>% harder to detect while sneaking.	潛行時，你被發現的難度提高 <mag>%。	Thaumaturgy 1.4.5 CHS exact FormKey; OpenCC s2twp + terminology review
00000003	07A104:Skyrim.esm	MGEF	MAG_EnchFortifySpeechcraftConstantSelf	FULL	0	Fortify Barter	強化交易	existing curated Traditional Chinese exact phrase
00000004	07A104:Skyrim.esm	MGEF	MAG_EnchFortifySpeechcraftConstantSelf	DNAM	0	You receive <mag>% better prices.	議價能力提高<mag>%。	Thaumaturgy 1.4.5 CHS exact FormKey; OpenCC s2twp + terminology review
00000005	07A105:Skyrim.esm	MGEF	MAG_EnchFortifyStaminaRateConstantSelf	FULL	0	Fortify Stamina Regeneration	強化耐力恢復	existing curated Traditional Chinese exact phrase
00000006	07A105:Skyrim.esm	MGEF	MAG_EnchFortifyStaminaRateConstantSelf	DNAM	0	Your Stamina Regeneration is increased by <mag>%.	耐力恢復速度提高 <mag>%。	Thaumaturgy 1.5 terminology review
00000007	08B65C:Skyrim.esm	MGEF	MAG_EnchFortifyPotionsDurationConstantSelf	FULL	0	Fortify Potion Duration	強化藥水持續時間	Thaumaturgy 1.5 terminology review
00000008	08B65C:Skyrim.esm	MGEF	MAG_EnchFortifyPotionsDurationConstantSelf	DNAM	0	Your potions last <mag>% longer.	藥水效果持續時間延長<mag>%。	Thaumaturgy 1.4.5 CHS exact FormKey; OpenCC s2twp + terminology review
00000009	092A48:Skyrim.esm	MGEF	MAG_EnchWaterbreathingConstantSelf	FULL	0	Waterbreathing	水中呼吸	existing curated Traditional Chinese exact phrase
0000000A	092A48:Skyrim.esm	MGEF	MAG_EnchWaterbreathingConstantSelf	DNAM	0	You can breathe underwater.	你可以在水下呼吸。	Thaumaturgy 1.4.5 CHS exact FormKey; OpenCC s2twp + terminology review
0000000B	092A57:Skyrim.esm	MGEF	MAG_EnchMuffleConstantSelf	FULL	0	Muffle	靜行	existing curated Traditional Chinese exact phrase
0000000C	092A57:Skyrim.esm	MGEF	MAG_EnchMuffleConstantSelf	DNAM	0	You make <50>% less noise while moving.  	移動時發出的聲響減少 <50>%。	Thaumaturgy 1.5 terminology review
0000000D	0AA155:Skyrim.esm	MGEF	MAG_EnchAbsorbHealthFFContact	FULL	0	Absorb Health	吸取生命	existing curated Traditional Chinese exact phrase
0000000E	0AA155:Skyrim.esm	MGEF	MAG_EnchAbsorbHealthFFContact	DNAM	0	Absorbs <mag> Health from living targets.	吸取活著的目標 <mag> 點生命。	existing curated Traditional Chinese exact phrase
0000000F	0AA156:Skyrim.esm	MGEF	MAG_EnchAbsorbMagickaFFContact01	FULL	0	Absorb Magicka	吸取法力	Thaumaturgy 1.5 terminology review
00000010	0AA156:Skyrim.esm	MGEF	MAG_EnchAbsorbMagickaFFContact01	DNAM	0	Absorbs <mag> Magicka.	吸取 <mag> 點法力。	Thaumaturgy 1.5 terminology review
00000011	0AA157:Skyrim.esm	MGEF	MAG_EnchAbsorbStaminaFFContact01	FULL	0	Absorb Stamina	吸取耐力	Thaumaturgy 1.5 terminology review
00000012	0AA157:Skyrim.esm	MGEF	MAG_EnchAbsorbStaminaFFContact01	DNAM	0	Absorbs <mag> Stamina.	吸取 <mag> 點耐力。	Thaumaturgy 1.5 terminology review
00000013	0ACBB5:Skyrim.esm	MGEF	MAG_EnchBanishFFContact	FULL	0	Banish	遣返湮滅	existing curated Traditional Chinese exact phrase
00000014	0ACBB5:Skyrim.esm	MGEF	MAG_EnchBanishFFContact	DNAM	0	Conjured Daedra up to level <mag> have a chance to be sent back to Oblivion.	最高 <mag> 級的召喚魔族有機率被遣返湮滅。	Thaumaturgy 1.5 terminology review
00000015	0B72A0:Skyrim.esm	MGEF	MAG_FrostSlowFFContact	FULL	0	Slow	緩速	existing curated Traditional Chinese exact phrase
00000016	0B72A0:Skyrim.esm	MGEF	MAG_FrostSlowFFContact	DNAM	0			empty internal field
00000017	03B0B1:Skyrim.esm	MGEF	MAG_EnchSilentMoonsEnchFFContact01	FULL	0	Lunar Damage	月光傷害	Thaumaturgy 1.4.5 CHS exact FormKey; OpenCC s2twp + terminology review
00000018	03B0B1:Skyrim.esm	MGEF	MAG_EnchSilentMoonsEnchFFContact01	DNAM	0	At night, absorbs <mag> Health.	夜間吸取 <mag> 點生命。	Thaumaturgy 1.5 terminology review
00000019	04605A:Skyrim.esm	MGEF	MAG_EnchFireDamageFFContact	FULL	0	Fire Damage	火焰傷害	existing curated Traditional Chinese exact phrase
0000001A	04605A:Skyrim.esm	MGEF	MAG_EnchFireDamageFFContact	DNAM	0	Deals <mag> Fire damage. Targets on fire take extra damage over time.	造成 <mag> 點火焰傷害。燃燒中的目標受到額外的持續傷害。	existing curated Traditional Chinese exact phrase
0000001B	04605B:Skyrim.esm	MGEF	MAG_EnchFrostDamageFFContact	FULL	0	Frost Damage	寒霜傷害	existing curated Traditional Chinese exact phrase
0000001C	04605B:Skyrim.esm	MGEF	MAG_EnchFrostDamageFFContact	DNAM	0	Deals <mag> Frost damage to Health and Stamina.	對生命與耐力造成 <mag> 點的寒霜傷害。	existing curated Traditional Chinese exact phrase
0000001D	04605C:Skyrim.esm	MGEF	MAG_EnchShockDamageFFContact	FULL	0	Shock Damage	閃電傷害	existing curated Traditional Chinese exact phrase
0000001E	04605C:Skyrim.esm	MGEF	MAG_EnchShockDamageFFContact	DNAM	0	Deals <mag> Shock damage to Health and Magicka.	對生命與法力造成 <mag> 點的閃電傷害。	existing curated Traditional Chinese exact phrase
0000001F	048C8B:Skyrim.esm	MGEF	MAG_EnchResistFireConstantSelf	FULL	0	Resist Fire	火焰抗性	existing curated Traditional Chinese exact phrase
00000020	048C8B:Skyrim.esm	MGEF	MAG_EnchResistFireConstantSelf	DNAM	0	Your Fire Resistance is increased by <mag>%.	你的火焰抗性增加 <mag>%。	Thaumaturgy 1.4.5 CHS exact FormKey; OpenCC s2twp + terminology review
00000021	048F45:Skyrim.esm	MGEF	MAG_EnchResistFrostConstantSelf	FULL	0	Resist Frost	寒霜抗性	existing curated Traditional Chinese exact phrase
