form_key	editor_id	field	source	target	provenance
018E6A:Skyrim.esm	LightFingers20	FULL	Light Fingers	巧手	Skyrim Traditional Chinese 8.20 record mapping
018E6A:Skyrim.esm	LightFingers20	DESC	Pickpocketing is 40% easier. Item weight and value reduce pickpocketing odds.	偷竊成功機率增加 40%。物品的重量和價值影響成功率。	Skyrim Traditional Chinese 8.20 record mapping
018E6B:Skyrim.esm	LightFingers40	FULL	Light Fingers	巧手	Skyrim Traditional Chinese 8.20 record mapping
018E6B:Skyrim.esm	LightFingers40	DESC	Pickpocketing is 60% easier. Item weight and value reduce pickpocketing odds.	偷竊成功機率增加 60%。物品的重量和價值影響成功率。	Skyrim Traditional Chinese 8.20 record mapping
018E6C:Skyrim.esm	LightFingers60	FULL	Light Fingers	巧手	Skyrim Traditional Chinese 8.20 record mapping
018E6C:Skyrim.esm	LightFingers60	DESC	Pickpocketing is 80% easier. Item weight and value reduce pickpocketing odds.	偷竊成功機率增加 80%。物品的重量和價值影響成功率。	Skyrim Traditional Chinese 8.20 record mapping
018E6D:Skyrim.esm	LightFingers80	FULL	Light Fingers	巧手	Skyrim Traditional Chinese 8.20 record mapping
018E6D:Skyrim.esm	LightFingers80	DESC	Pickpocketing is 100% easier. Item weight and value reduce pickpocketing odds.	偷竊成功機率增加 100%。物品的重量和價值影響成功率。	Skyrim Traditional Chinese 8.20 record mapping
03AF83:Skyrim.esm	DeepWounds30	FULL	Deep Wounds	重創打擊	Skyrim Traditional Chinese 8.20 record mapping
03AF83:Skyrim.esm	DeepWounds30	DESC	Attacks with greatswords have a 10% chance of doing critical damage.	使用巨劍攻擊有 10% 的機率造成致命一擊。	Skyrim Traditional Chinese 8.20 record mapping
03AFA7:Skyrim.esm	Warmaster	FULL	Warmaster	將領	Skyrim Traditional Chinese 8.20 record mapping
03AFA7:Skyrim.esm	Warmaster	DESC	Backwards power attack has a 25% chance to paralyze the target.	倒退強力攻擊有 25% 的機率癱瘓目標。	Skyrim Traditional Chinese 8.20 record mapping
